charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
Arizona Humane Society,Guy Collison,12235799,2013,Animals,AZ,1983159,9609068,316,132342,1518,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,133860,56,4,0
Arizona Humane Society,Guy Collison,10627266,2011,Animals,AZ,1424704,7916722,271,157604,6970,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,164574,54,2,0
Arizona Humane Society,Guy Collison,9533268,2010,Animals,AZ,1447507,7279205,247,161642,4361,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,166003,53,1,0
Arizona Humane Society,Guy Collison,9500407,2012,Animals,AZ,1425836,8357674,269,168403,7248,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,175651,55,3,0
Arizona Humane Society,Guy Collison,9190346,2009,Animals,AZ,1250467,6835755,250,118492,2777,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,121269,52,0,0
Make-A-Wish America,David Williams,70369626,2014,Health,AZ,10776025,14958459,228,557618,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,557618,34,9,0
Make-A-Wish America,David Williams,65925217,2013,Health,AZ,8626896,13046614,228,524395,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,524395,33,8,0
Make-A-Wish America,David Williams,58854635,2012,Health,AZ,8310357,11282138,198,500630,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,500630,32,7,0
Make-A-Wish America,David Williams,58712923,2010,Health,AZ,8019303,10171173,148,460050,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,460050,30,5,0
Make-A-Wish America,David Williams,57705423,2011,Health,AZ,8502580,10871500,178,471217,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,471217,31,6,0
Cenikor Foundation,William L. Bailey,6760837,2014,Health,TX,290743,6581555,360,407083,0,1967,2008,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,407083,47,6,0
Cenikor Foundation,William L. Bailey,6627331,2013,Health,TX,498382,7151483,360,341015,0,1967,2007,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,341015,46,6,0
Cenikor Foundation,William L. Bailey,6538324,2012,Health,TX,547457,6985541,336,329534,0,1967,2006,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,329534,45,6,0
Cenikor Foundation,William L. Bailey,6527203,2011,Health,TX,454555,5710733,284,303988,0,1967,2005,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,303988,44,6,0
Cenikor Foundation,William L. Bailey,3819022,2010,Health,TX,301849,3990129,136,271001,0,1967,2004,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,271001,43,6,0
American Indian College Fund,Richard Williams,19742859,2010,Education,CO,2898051,2690311,56,175716,27536,1989,1997,male,University of Wyoming,M.Ed.,33,,CO,Education,M.Ed.,male,203252,21,13,0
American Indian College Fund,Richard Williams,17227467,2011,Education,CO,2806346,3072473,56,203452,30867,1989,1997,male,University of Wyoming,M.Ed.,33,,CO,Education,M.Ed.,male,234319,22,14,0
Gay Men's Health Crisis,Marjorie Hill,21913566,2012,Health,NY,2229573,10367661,208,289365,0,1982,2004,female,Adelphi University,Ph.D,38,,NY,Health,Ph.D,female,289365,30,8,0
Gay Men's Health Crisis,Marjorie Hill,21696921,2011,Health,NY,2282302,10363876,211,234351,0,1982,2004,female,Adelphi University,Ph.D,38,,NY,Health,Ph.D,female,234351,29,7,0
Gay Men's Health Crisis,Marjorie Hill,21387392,2013,Health,NY,2149160,9209962,207,205544,0,1982,2004,female,Adelphi University,Ph.D,38,,NY,Health,Ph.D,female,205544,31,9,0
Habitat for Humanity East Bay/Silicon Valley,Janice E. Jensen,11586066,2010,Community Development,CA,655837,3628846,65,162930,0,1976,2005,female,Oregon State University,B.S.,39,,CA,Community Development,B.S.,female,162930,34,5,0
Habitat for Humanity East Bay/Silicon Valley,Janice E. Jensen,11158241,2014,Community Development,CA,972904,5138089,97,214241,0,1976,2005,female,Oregon State University,B.S.,39,,CA,Community Development,B.S.,female,214241,38,9,0
Habitat for Humanity East Bay/Silicon Valley,Janice E. Jensen,9692356,2013,Community Development,CA,1015815,5187955,88,200020,0,1976,2005,female,Oregon State University,B.S.,39,,CA,Community Development,B.S.,female,200020,37,8,0
Habitat for Humanity East Bay/Silicon Valley,Janice E. Jensen,8502916,2011,Community Development,CA,567942,3508595,74,177389,0,1976,2005,female,Oregon State University,B.S.,39,,CA,Community Development,B.S.,female,177389,35,6,0
Habitat for Humanity East Bay/Silicon Valley,Janice E. Jensen,8231047,2012,Community Development,CA,936485,4686649,71,190827,0,1976,2005,female,Oregon State University,B.S.,39,,CA,Community Development,B.S.,female,190827,36,7,0
Morris Animal Foundation,David Haworth,10266589,2012,Animals,CO,1972104,2920222,41,218235,0,1948,2011,male,Colorado State University,Ph.D,42,,CO,Animals,Ph.D,male,218235,64,1,0
Morris Animal Foundation,David Haworth,9806280,2014,Animals,CO,2247097,2986795,40,177786,28169,1948,2011,male,Colorado State University,Ph.D,42,,CO,Animals,Ph.D,male,205955,66,3,0
Morris Animal Foundation,David Haworth,8954333,2011,Animals,CO,1568974,2626873,41,126745,3575,1948,2011,male,Colorado State University,Ph.D,42,,CO,Animals,Ph.D,male,130320,63,0,0
Morris Animal Foundation,David Haworth,8063763,2013,Animals,CO,2104106,2757968,41,210000,20293,1948,2011,male,Colorado State University,Ph.D,42,,CO,Animals,Ph.D,male,230293,65,2,0
Foundation Fighting Blindness,William Schmidt,56098521,2014,Health,MD,7165051,6353597,89,339539,0,1971,2005,male,DePaul University,JD,43,,MD,Health,JD,male,339539,43,9,0
Foundation Fighting Blindness,William Schmidt,40828587,2012,Health,MD,7612726,7404141,106,336730,0,1971,2005,male,DePaul University,JD,43,,MD,Health,JD,male,336730,41,7,0
Foundation Fighting Blindness,William Schmidt,38553517,2011,Health,MD,7815055,7479697,107,326900,0,1971,2005,male,DePaul University,JD,43,,MD,Health,JD,male,326900,40,6,0
Foundation Fighting Blindness,William Schmidt,37077623,2013,Health,MD,6864280,6704696,98,330403,0,1971,2005,male,DePaul University,JD,43,,MD,Health,JD,male,330403,42,8,0
National Council of La Raza,Janet Murguia,35757043,2010,Human & Civil Rights,DC,986743,13469325,162,316244,45179,1968,2005,female,University of Kansas,JD,44,,DC,Human & Civil Rights,JD,female,361423,42,5,0
National Council of La Raza,Janet Murguia,33131688,2012,Human & Civil Rights,DC,1034167,11573923,160,360171,51454,1968,2005,female,University of Kansas,JD,44,,DC,Human & Civil Rights,JD,female,411625,44,7,0
National Council of La Raza,Janet Murguia,29794393,2014,Human & Civil Rights,DC,1240302,11727572,138,459641,44074,1968,2005,female,University of Kansas,JD,44,,DC,Human & Civil Rights,JD,female,503715,46,9,0
National Council of La Raza,Janet Murguia,27331952,2013,Human & Civil Rights,DC,1528134,11407321,152,396622,20875,1968,2005,female,University of Kansas,JD,44,,DC,Human & Civil Rights,JD,female,417497,45,8,0
National Council of La Raza,Janet Murguia,25855921,2011,Human & Civil Rights,DC,1029315,12266749,165,332897,47558,1968,2005,female,University of Kansas,JD,44,,DC,Human & Civil Rights,JD,female,380455,43,6,0
ALSAC - St. Jude Children's Research Hospital ,Richard C. Shadyac Jr.,1028565644,2014,Health,TN,180954270,112911934,1417,762202,0,1957,2009,male,Loyola University,JD,48,,TN,Health,JD,male,762202,57,5,0
ALSAC - St. Jude Children's Research Hospital ,Richard C. Shadyac Jr.,948816088,2013,Health,TN,160148691,98156940,1402,646921,42534,1957,2009,male,Loyola University,JD,48,,TN,Health,JD,male,689455,56,4,0
ALSAC - St. Jude Children's Research Hospital ,Richard C. Shadyac Jr.,851256497,2012,Health,TN,146118954,88674093,1388,625147,41854,1957,2009,male,Loyola University,JD,48,,TN,Health,JD,male,667001,55,3,0
ALSAC - St. Jude Children's Research Hospital ,Richard C. Shadyac Jr.,776484977,2011,Health,TN,139019210,82095094,1428,634894,0,1957,2009,male,Loyola University,JD,48,,TN,Health,JD,male,634894,54,2,0
ALSAC - St. Jude Children's Research Hospital ,Richard C. Shadyac Jr.,698411243,2010,Health,TN,139200471,76689183,1442,515620,0,1957,2009,male,Loyola University,JD,48,,TN,Health,JD,male,515620,53,1,0
Inner-City Scholarship Fund,Susan George,21254009,2014,Education,NY,1695151,1520762,53,168040,84048,1971,2004,female,Drew University,MLitt,52,,NY,Education,MLitt,female,252088,43,10,0
Inner-City Scholarship Fund,Susan George,17222012,2010,Education,NY,1369734,884810,16,208616,0,1971,2004,female,Drew University,MLitt,52,,NY,Education,MLitt,female,208616,39,6,0
Inner-City Scholarship Fund,Susan George,16003066,2013,Education,NY,1588965,1045243,61,251059,0,1971,2004,female,Drew University,MLitt,52,,NY,Education,MLitt,female,251059,42,9,0
Inner-City Scholarship Fund,Susan George,14718131,2011,Education,NY,1423369,834329,15,228670,0,1971,2004,female,Drew University,MLitt,52,,NY,Education,MLitt,female,228670,40,7,0
Inner-City Scholarship Fund,Susan George,13708270,2012,Education,NY,1490107,851717,65,254358,0,1971,2004,female,Drew University,MLitt,52,,NY,Education,MLitt,female,254358,41,8,0
The Asia Foundation,David D. Arnold,149043236,2011,International,CA,383932,44911310,238,469194,0,1952,2011,male,Michigan State University,MPA,52,,CA,International,MPA,male,469194,59,0,0
The Asia Foundation,David D. Arnold,136191947,2012,International,CA,384215,45451789,203,479245,0,1952,2011,male,Michigan State University,MPA,52,,CA,International,MPA,male,479245,60,1,0
The Asia Foundation,David D. Arnold,126395351,2013,International,CA,491448,46215896,210,48896,448524,1952,2011,male,Michigan State University,MPA,52,,CA,International,MPA,male,497420,61,2,0
The Asia Foundation,David D. Arnold,120674490,2014,International,CA,483848,46386642,193,483238,0,1952,2011,male,Michigan State University,MPA,52,,CA,International,MPA,male,483238,62,3,0
Books for Africa,Patrick Plonski,35614456,2014,International,MN,168321,628708,26,134348,11510,1989,2003,male,University of Minnesota Twin Cities,Ph.D,55,,MN,International,Ph.D,male,145858,25,11,0
Books for Africa,Patrick Plonski,35139403,2012,International,MN,141193,591230,25,116806,8774,1989,2003,male,University of Minnesota Twin Cities,Ph.D,55,,MN,International,Ph.D,male,125580,23,9,0
Books for Africa,Patrick Plonski,33459488,2013,International,MN,150720,586305,20,143123,14999,1989,2003,male,University of Minnesota Twin Cities,Ph.D,55,,MN,International,Ph.D,male,158122,24,10,0
Books for Africa,Patrick Plonski,30539250,2011,International,MN,153837,553069,25,113204,17966,1989,2003,male,University of Minnesota Twin Cities,Ph.D,55,,MN,International,Ph.D,male,131170,22,8,0
Books for Africa,Patrick Plonski,23800283,2010,International,MN,146913,553069,17,99425,10836,1989,2003,male,University of Minnesota Twin Cities,Ph.D,55,,MN,International,Ph.D,male,110261,21,7,0
Action Against Hunger USA,Nancy Dale,75896721,2013,International,NY,1423098,22140724,94,247149,0,1985,2007,female,Yeshiva University,M.S.,58,,NY,International,M.S.,female,247149,28,6,0
Action Against Hunger USA,Nancy Dale,63124344,2012,International,NY,982120,21930284,89,265693,0,1985,2007,female,Yeshiva University,M.S.,58,,NY,International,M.S.,female,265693,27,5,0
Action Against Hunger USA,Nancy Dale,57854222,2011,International,NY,1396355,20028415,84,256733,0,1985,2007,female,Yeshiva University,M.S.,58,,NY,International,M.S.,female,256733,26,4,0
Action Against Hunger USA,Nancy Dale,50530270,2010,International,NY,1121731,16796807,75,225982,57527,1985,2007,female,Yeshiva University,M.S.,58,,NY,International,M.S.,female,283509,25,3,0
Communities In Schools National Office,Daniel J. Cardinali,37562260,2012,Education,VA,1833127,5929075,66,348203,22925,1977,1999,male,Fordham University,M.A.,59,,VA,Education,M.A.,male,371128,35,13,0
Communities In Schools National Office,Daniel J. Cardinali,30381049,2011,Education,VA,1231109,5286893,59,307027,22563,1977,1999,male,Fordham University,M.A.,59,,VA,Education,M.A.,male,329590,34,12,0
Communities In Schools National Office,Daniel J. Cardinali,22610901,2013,Education,VA,2828908,6340996,76,368708,23602,1977,1999,male,Fordham University,M.A.,59,,VA,Education,M.A.,male,392310,36,14,0
Communities In Schools National Office,Daniel J. Cardinali,19777492,2010,Education,VA,1301991,4713835,58,282245,19180,1977,1999,male,Fordham University,M.A.,59,,VA,Education,M.A.,male,301425,33,11,0
Communities In Schools National Office,Daniel J. Cardinali,19315126,2014,Education,VA,2191734,6407328,73,407435,25093,1977,1999,male,Fordham University,M.A.,59,,VA,Education,M.A.,male,432528,37,15,0
Children's Scholarship Fund,Darla Romfo,29088945,2010,Education,NY,710439,1238144,14,267242,20199,1998,1999,female,George Washington University,JD,60,,NY,Education,JD,female,287441,12,11,0
Children's Scholarship Fund,Darla Romfo,26203428,2011,Education,NY,773096,1351465,22,289984,0,1998,1999,female,George Washington University,JD,60,,NY,Education,JD,female,289984,13,12,0
Children's Scholarship Fund,Darla Romfo,24287928,2012,Education,NY,768193,1380384,16,291243,0,1998,1999,female,George Washington University,JD,60,,NY,Education,JD,female,291243,14,13,0
Children's Scholarship Fund,Darla Romfo,23588401,2013,Education,NY,922612,1339282,17,267242,25247,1998,1999,female,George Washington University,JD,60,,NY,Education,JD,female,292489,15,14,0
Children's Scholarship Fund,Darla Romfo,22225578,2014,Education,NY,709774,1281112,13,267242,24739,1998,1999,female,George Washington University,JD,60,,NY,Education,JD,female,291981,16,15,0
The Franklin Institute,Dennis M. Wint,17807535,2014,Arts & Culture,PA,2666915,14783530,466,537680,56681,1824,1995,male,Case Western Reserve University,Ph.D,65,,PA,Arts & Culture,Ph.D,male,594361,190,19,0
The Franklin Institute,Dennis M. Wint,15267620,2013,Arts & Culture,PA,2110948,13909281,441,565681,54361,1824,1995,male,Case Western Reserve University,Ph.D,65,,PA,Arts & Culture,Ph.D,male,620042,189,18,0
The Franklin Institute,Dennis M. Wint,11452312,2011,Arts & Culture,PA,1763564,12293908,402,431295,57431,1824,1995,male,Case Western Reserve University,Ph.D,65,,PA,Arts & Culture,Ph.D,male,488726,187,16,0
The Franklin Institute,Dennis M. Wint,10865764,2012,Arts & Culture,PA,1973534,13297857,415,469496,62904,1824,1995,male,Case Western Reserve University,Ph.D,65,,PA,Arts & Culture,Ph.D,male,532400,188,17,0
The Franklin Institute,Dennis M. Wint,6251106,2010,Arts & Culture,PA,1820434,12194588,441,374247,63208,1824,1995,male,Case Western Reserve University,Ph.D,65,,PA,Arts & Culture,Ph.D,male,437455,186,15,0
Cleveland Housing Network,Robert Curry,23635665,2011,Community Development,OH,212038,8350814,164,121276,14745,1981,1998,male,Case Western Reserve University,MBA,65,,OH,Community Development,MBA,male,136021,30,13,0
Cleveland Housing Network,Robert Curry,23518260,2010,Community Development,OH,189433,7674094,161,131242,13480,1981,1998,male,Case Western Reserve University,MBA,65,,OH,Community Development,MBA,male,144722,29,12,0
Cleveland Housing Network,Robert Curry,21727614,2012,Community Development,OH,219774,8984306,183,123806,15392,1981,1998,male,Case Western Reserve University,MBA,65,,OH,Community Development,MBA,male,139198,31,14,0
Cleveland Housing Network,Robert Curry,15787805,2013,Community Development,OH,185218,9589583,210,126181,16699,1981,1998,male,Case Western Reserve University,MBA,65,,OH,Community Development,MBA,male,142880,32,15,0
Cleveland Housing Network,Robert Curry,12805466,2014,Community Development,OH,251822,10050323,193,135573,17543,1981,1998,male,Case Western Reserve University,MBA,65,,OH,Community Development,MBA,male,153116,33,16,0
Amnesty International USA,Steven Hawkins,37447820,2015,International,NY,5340577,8922520,424,274603,38973,1966,2013,male,NYU,JD,66,,NY,International,JD,male,313576,49,2,0
Amnesty International USA,Steven Hawkins,34144311,2013,International,NY,4754015,10181686,152,55769,6484,1966,2013,male,NYU,JD,66,,NY,International,JD,male,62253,47,0,0
Amnesty International USA,Steven Hawkins,31785589,2014,International,NY,6591459,8867508,133,261538,29304,1966,2013,male,NYU,JD,66,,NY,International,JD,male,290842,48,1,0
Hampton Roads Community Foundation,Deborah M. DiCroce,17226620,2013,Community Development,VA,542319,1351185,15,294438,0,1950,2012,female,College of William and Mary,Ed.D,68,,VA,Community Development,Ed.D,female,294438,63,1,0
Hampton Roads Community Foundation,Deborah M. DiCroce,16333832,2014,Community Development,VA,582343,1549551,14,263755,41506,1950,2012,female,College of William and Mary,Ed.D,68,,VA,Community Development,Ed.D,female,305261,64,2,0
Hampton Roads Community Foundation,Deborah M. DiCroce,13783065,2012,Community Development,VA,462692,1159119,16,205066,21310,1950,2012,female,College of William and Mary,Ed.D,68,,VA,Community Development,Ed.D,female,226376,62,0,0
Arts and Science Council,Scott Provancher,14177927,2012,Arts & Culture,NC,1195163,2459851,53,233323,14621,1958,2009,male,University of Rochester,B.A.,68,,NC,Arts & Culture,B.A.,male,247944,54,3,0
Arts and Science Council,Scott Provancher,12809152,2010,Arts & Culture,NC,988473,1531901,29,208880,10729,1958,2009,male,University of Rochester,B.A.,68,,NC,Arts & Culture,B.A.,male,219609,52,1,0
Arts and Science Council,Scott Provancher,12597434,2011,Arts & Culture,NC,1133434,1923805,29,225927,14252,1958,2009,male,University of Rochester,B.A.,68,,NC,Arts & Culture,B.A.,male,240179,53,2,0
BELL (Building Educated Leaders for Life),Tiffany Cooper Gueye,28307758,2011,Education,MA,803972,17143874,2335,245495,0,1992,2008,female,Boston College,Ph.D,70,,MA,Education,Ph.D,female,245495,19,3,0
BELL (Building Educated Leaders for Life),Tiffany Cooper Gueye,21839059,2010,Education,MA,880823,14803265,1053,226255,0,1992,2008,female,Boston College,Ph.D,70,,MA,Education,Ph.D,female,226255,18,2,0
BELL (Building Educated Leaders for Life),Tiffany Cooper Gueye,21225966,2014,Education,MA,603490,14839190,1779,277221,0,1992,2008,female,Boston College,Ph.D,70,,MA,Education,Ph.D,female,277221,22,6,0
